question_type,question,ground_truth_answer,source_context
Deployment/Configuration,"Where must the `aal2sdk.dll` file, obtained from the OneSpan Authentication Suite Server SDK, be copied within the AccessMatrix (AM5) installation directory before VASCO Multi-Device tokens can be used?",It must be copied to the `<AM5_Installation_Directory>\tomcat\bin\` folder.,"o aal2sdk.dll - From <InstallationDirectory>\OneSpan\Authentication Suite Server SDK 64 bit\4.0.1\Bin\, copy to <AM5_Installation_Directory>\tomcat\bin\."
Integration/Development,"During the online activation flow for YESsafe tokens via UAS TAP, what cryptographic action does the YESsafe Mobile Token+ application perform and submit to UAS TAP after scanning the initial QR code, but before UAS TAP generates the second QR code for OTP activation?",The YESsafe mobile token app will generate a key pair and send the public key to UAS TAP.,5. YESsafe mobile token app will generate the key pair and send the public key to UAS TAP. 6. UAS TAP will generate another QR code for OTP activation.
Troubleshooting/Error Handling,"Edge Case — How should an administrator confirm if the VASCO_MULTI_DEVICE token vendor handler failed to initialize due to incompatible library files, and what is the consequence of this failure?","The administrator must monitor the `am.log` file for errors during server startup. If a library is incompatible, the VASCO_MULTI_DEVICE token vendor handler will not be registered or initialized successfully and cannot be used.","UAS server can be started once all the libraries are being placed correctly. Monitor am.log for any errors during server startup. If any library is not compatible, the VASCO_MULTI_DEVICE token vendor handler will not be registered/initialized successfully and hence; it cannot be used."
Deployment/Configuration,"If the Token Activation Portal (TAP) and Common Login Page (CLP) are deployed on separate servers, which TAP configuration file must be modified, and what parameter needs updating to point to the CLP SSO endpoint?","The `index.config.js` file, located in `<AM5_Installation_Directory>/webapps/uastap/core/`, must be modified to change the `url` parameter within the `CLP` object (e.g., to `http://localhost:8083/clp/axmxsso`).","1. Navigate to <AM5_Installation_Directory>/webapps/uastap/core/ and open the index.config.js file. 2. Find the url: "".../clp/axmxsso"" parameter and modify the parameter value as follows: ... JavaScript // TODO encapsulate CONFIG var CONFIG = { CLP: { automatic: true, url: ""http://localhost:8083/clp/axmxsso"" } }"
Integration/Development,"When activating a VASCO Multi-Device token via TAP, what two distinct inputs (codes) must the user generate using the DIGIPASS app and enter into the TAP's Activation dialog box in steps 4 and 8, respectively?","In step 4, the user enters the generated **device code** after scanning the first CRONTO image. In step 8, the user enters the generated **Signature/response code** after scanning the second CRONTO image.","4. Then, enter the generated device code displayed in the DIGIPASS app screen to TAP's Activation dialog box... 8. Enter the generated Signature/response code in TAP's Activation dialog box, and click Next to proceed."
Deployment/Configuration,"Edge Case — When configuring TAP to support YESsafe tokens for offline activation, what must the value of the `-activationMode` parameter be changed to in the `web.xml` file, assuming it was previously configured for online activation?",The parameter value must be changed from `online` to `offline`.,4. Change -activationMode online to activationMode offline.
Integration/Development,"What is the function of the `-token-implementation` parameter in the TAP `web.xml` configuration, and specifically for the OATH vendor, what three distinct implementation values are recognized?","The parameter specifies the token implementation, used to differentiate various token types from the same vendor. For the OATH vendor, the three implementations are ""GoogleAuthenticator"", ""MS"", and ""YESsafe"".","Parameter Format Description... -token-implementation -token-implementation [token implementation] Specify the token implementation. Used to differentiate the various types of tokens from the same token vendor. For the token vendor ""OATH"", there are three token implementations: ""GoogleAuthenticator"", ""MS"", and ""YESsafe"". For example: ""-token-implementation YESsafe"""
Deployment/Configuration,Edge Case — What are the three strict dimensional and file naming requirements for a custom image to be used as the TAP banner?,"The image must be a JPG file, the file name must be `topPanel.jpg`, and the size must be 600 x 60 pixels.",Following criteria should be met to customize the portal's banner: · The image must be a JPG file. · The image file name must be the same (i.e. topPanel.jpg). · The size of the image must be 600 x 60 pixels.
Troubleshooting/Error Handling,"Edge Case — If SSL is not required for TAP login, but SSL properties might be inadvertently configured via `javax.net.ssl` system properties, what specific parameter must be added to the REST/AM `<param-value>` in `web.xml` to explicitly disable SSL?",The parameter `-ssl-enabled false` must be added to the `<param-value>` section of the REST/AM parameter.,"SSL properties can also be configured and loaded from the javax.net.ssl system properties. In case system properties are set for other purposes while SSL is not needed, add -ssl-enabled false in <param-value>."
Deployment/Configuration,"When importing V-Key token seeds and activation PINs, what status must be selected for the imported tokens in the Token Import Utility after importing the VTAP XML file, and what is the required import mode for the APIN XML file?","The token status must be selected as ""PreActivation"" for the imported tokens, and the APIN XML file must use ""As-Is Import"" mode.","Import the VTAP XML file. o Remember to select token status ""PreActivation"" for imported tokens. ... PIN/Activation Password Import Mode As-Is Import Usually, there is no encryption key on the APIN XML so set to As-is Import"
