question_type,question,ground_truth_answer,source_context
Deployment/Configuration,"Edge Case — What is the unsupported deployment environment for AccessMatrix when attempting to integrate with Google Cloud HSM, and what is the required environment?",On-premise deployment of AccessMatrix that integrates with Cloud HSM is not supported. AccessMatrix must be deployed in a Linux VM on Google Compute Engine.,"AccessMatrix must be deployed in Linux VM on Google Compute Engine. Thus, on-premise deployment of AccessMatrix that integrate with Cloud HSM is not supported.... On-premise deployment of AccessMatrix that integrate with Cloud HSM is not supported."
Integration/Development,What authentication strategy does AccessMatrix use for server-to-server access when authenticating itself to Google Cloud HSM?,AccessMatrix uses the Application Default Credentials (ADC) strategy for server-to-server authentication to access Cloud HSM.,"AccessMatrix uses Application Default Credentials (ADC) strategy as the server to server authentication to access Cloud HSM.... While Google provides several authentication strategies, AccessMatrix uses Application Default Credentials (ADC) strategy to authenticate itself to access Cloud HSM."
Deployment/Configuration,What three specific GCP configuration parameters (name/ID) must be provided in the AccessMatrix Admin Console when creating a new Google Key Provider implementation?,"The administrator must specify the Key Ring Name, the Location Id, and the Project Id.","5. Specify the Key Ring Name (e.g. ""ISPRINT_KR"" ). 6. Specify the Location Id (e.g. ""asia-southeast1""). 7. Specify the Project Id (e.g. ""hallowed-web-259403"")."
Troubleshooting/Error Handling,"Edge Case — After deploying the Google Key Provider plugin and starting the AccessMatrix server, what specific line of text or keyword should an administrator search for in the `am.log` file to verify that the plugin has loaded successfully?","The administrator should look for the keyword or line: ""Plugin loaded: GoogleKeyProviderPlugin"".","Start AccessMatrix server, check am.log file (<hostname>_am.log) to see if Google Key Provider plugin is loaded. Find this keyword ""Plugin loaded: GoogleKeyProviderPlugin"". For example: ... Plugin loaded: GoogleKeyProviderPlugin - 0.1"
Deployment/Configuration,What is the correct location within the AccessMatrix installation directory where the `am-googlekprov-plugin.jar` file must be copied during the deployment of the Google Key Provider Plugin?,It must be copied to the `<ACMATRIX_ROOT>\tomcat\plugins` folder.,3. Copy am-googlekprov-plugin.jar file from <ACMATRIX_ROOT>\sdk\googlekprov\ folder to <ACMATRIX_ROOT>\tomcat\plugins folder.
Integration/Development,"When granting the service account access to the created key, what specific IAM role is required to enable cryptographic operations (encryption/decryption)?",The role required is `roles/cloudkms.cryptoKeyEncrypterDecrypter`.,Then you can grant permissions by assigning role cloudkms.cryptoKeyEncrypterDecrypter to that account:... --role roles/cloudkms.cryptoKeyEncrypterDecrypter
Deployment/Configuration,"Edge Case — When configuring the Linux VM on GCP Compute Engine to host AccessMatrix, what specific VM Access scope setting must be enabled?","The VM Access scopes must be set to ""Allow full access to all Cloud APIs"".","The VM Access scopes must be set to ""Allow full access to all Cloud APIs""."
Integration/Development,AccessMatrix uses Cloud HSM to store symmetric keys and perform operations. Which specific symmetric key type and mode combination does the source state Cloud HSM supports for this purpose?,Cloud HSM supports AES-256 symmetric keys with Galois Counter Mode (GCM).,Cloud HSM supports AES-256 symmetric keys with Galois Counter Mode (GCM).
Deployment/Configuration,"Edge Case — In the context of performance and security, if Cloud HSM keys are used as wrapping keys instead of directly as AEK or PEK, where must the AEK key be created before it is wrapped by the Cloud HSM key?",The AEK key must be created in the AccessMatrix default System Key Provider.,"Another option is to use Cloud HSM keys as wrapping keys. In this case, you can create an AEK in AccessMatrix default System Key Provider. This AEK key then will be wrapped by Cloud HSM key."
Troubleshooting/Error Handling,"Edge Case — During the verification phase of the Crypto Key readiness using gcloud commands, what potential error is specifically warned about if the service account is not assigned the correct role type?",The user may encounter a Permission Denied Exception.,"Note: Refer to Google Cloud documentation to learn the types of role (i.e. roles/viewer) you require to assign to the service account. Otherwise, you may encounter Permission Denied Exception."
